Source,srcPort,Destination,destPort,firstSize,secondSize,threeSize,flowSize
190.84.170.123,80,190.84.172.91,1834,66,64,262,456
190.84.170.217,2773,190.84.172.91,497,66,64,70,198044989
190.84.170.64,445,190.84.172.101,3187,66,220,598,695017
190.84.170.64,80,190.84.172.101,3189,66,64,255,1018
190.84.170.99,22,190.84.172.143,32869,78,119,70,142861
190.84.171.128,12088,190.84.172.74,6000,66,64,70,14796
190.84.171.128,12089,190.84.172.74,6000,66,64,70,341242
190.84.171.128,12092,190.84.172.74,6000,66,64,70,689142
190.84.171.128,512,190.84.172.74,1045,66,64,79,273
190.84.171.128,512,190.84.172.74,1046,66,64,64,263
190.84.171.234,25,190.84.172.89,1061,78,154,70,1467
190.84.171.234,25,190.84.172.89,1325,78,154,70,1491
190.84.171.234,42218,190.84.172.89,113,78,70,79,437
190.84.171.234,43579,190.84.172.89,113,78,70,79,437
190.84.171.234,53,190.84.172.74,1041,66,64,92,286
190.84.171.234,53,190.84.172.74,1042,66,64,92,286
190.84.171.234,53,190.84.172.74,1043,66,64,92,286
190.84.171.234,53,190.84.172.74,1059,66,64,92,286
190.84.171.234,53,190.84.172.74,1060,66,64,92,286
190.84.171.234,53,190.84.172.74,1061,66,64,92,286
190.84.171.234,53,190.84.172.74,1065,66,64,92,286
190.84.171.234,53,190.84.172.74,1066,66,64,92,286
190.84.171.234,53,190.84.172.74,1067,66,64,92,286
190.84.171.234,53,190.84.172.74,1134,66,64,92,286
190.84.171.234,53,190.84.172.74,1135,66,64,92,286
190.84.171.234,53,190.84.172.74,1136,66,64,92,286
190.84.171.234,53,190.84.172.74,1150,66,64,92,286
190.84.171.234,53,190.84.172.74,1151,66,64,92,286
190.84.171.234,53,190.84.172.74,1152,66,64,92,286
190.84.171.234,53,190.84.172.74,1158,66,64,92,286
190.84.171.234,53,190.84.172.74,1159,66,64,92,286
190.84.171.234,53,190.84.172.74,1160,66,64,92,286
190.84.171.234,53,190.84.172.74,1177,66,64,92,286
190.84.171.234,53,190.84.172.74,1178,66,64,92,286
190.84.171.234,53,190.84.172.74,1179,66,64,92,286
190.84.171.234,53,190.84.172.74,1183,66,64,92,286
190.84.171.234,53,190.84.172.74,1184,66,64,92,286
190.84.171.234,53,190.84.172.74,1185,66,64,92,286
190.84.171.234,53,190.84.172.74,1193,66,64,92,286
190.84.171.234,53,190.84.172.74,1194,66,64,92,286
190.84.171.234,53,190.84.172.74,1195,66,64,92,286
190.84.171.234,53,190.84.172.74,1219,66,64,92,286
190.84.171.234,53,190.84.172.74,1220,66,64,92,286
190.84.171.234,53,190.84.172.74,1221,66,64,92,286
190.84.171.234,53,190.84.172.74,1225,66,64,92,286
190.84.171.234,53,190.84.172.74,1226,66,64,92,286
190.84.171.234,53,190.84.172.74,1227,66,64,92,286
190.84.171.234,53,190.84.172.74,1231,66,64,92,286
190.84.171.234,53,190.84.172.74,1232,66,64,92,286
190.84.171.234,53,190.84.172.74,1233,66,64,92,286
190.84.171.234,993,190.84.172.89,1032,78,70,1094,118958
190.84.171.234,993,190.84.172.89,1033,78,70,1094,36462
190.84.171.234,993,190.84.172.89,1034,78,70,1094,95052
190.84.171.234,993,190.84.172.89,1059,78,70,1094,46601
190.84.171.234,993,190.84.172.89,1163,78,70,1094,43771
190.84.171.234,993,190.84.172.89,1879,78,70,1094,45168
